"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.bread","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.shaja","pkg.wht.unshe","pkg.wht.millw","pkg.wht.millm","pkg.wht.milla","pkg.wht.maltw","pkg.wht.pbula","pkg.wht.allwh"
"926","SNNP","Boniga","October",2017,36.24008346,7.388535704,6.83,15,13.49,13,NA,35,NA,NA,NA,26.09,NA,15
"927","SNNP","Chana","October",2017,36.11775846,6.226550231,5.19,13,12,NA,NA,NA,NA,NA,NA,NA,NA,13
"928","SNNP","Arbam- minch ","October",2017,37.5527474,6.024547891,3.5,16,NA,13,NA,30,NA,NA,NA,14.46,NA,16
"929","SNNP","Sawla","October",2017,36.87437474,6.300226567,3.34,11.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.39
"930","SNNP","Welayita","September",2017,NA,NA,4.79,11.49,NA,10.25,NA,30,NA,NA,60,20,NA,11.49
"931","SNNP","Bodite","September",2017,37.89064905,7.038034865,6.19,12,NA,NA,NA,25.5,NA,NA,40,18.49,35,12
"932","SNNP","Jinka","September",2017,36.56441614,5.78310286,6.54,10.56,NA,9.77,NA,32,NA,NA,NA,19.48,NA,10.56
"933","SNNP","Dimeka","September",2017,36.45041198,4.892522922,5.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"934","SNNP","Masha","September",2017,35.47956686,7.741652627,5,13,NA,12,NA,32,NA,NA,NA,NA,NA,13
"935","SNNP","Tepi","September",2017,35.36770327,7.320015599,NA,12,NA,11,NA,30,13,NA,NA,NA,NA,12
"936","SNNP","Boniga","September",2017,36.24008346,7.388535704,6.14,12,11,11,NA,33,NA,NA,NA,23.17,NA,12
"937","SNNP","Chana","September",2017,36.11775846,6.226550231,5.19,13,NA,12,NA,NA,NA,NA,40,NA,NA,13
"938","SNNP","Arbam- minch ","September",2017,37.5527474,6.024547891,3.5,15,NA,12,NA,30,NA,NA,NA,NA,NA,15
"939","SNNP","Sawla","September",2017,36.87437474,6.300226567,3.34,12.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.45
"940","SNNP","Shewa- Bench ","April",2018,NA,NA,5,18,15.49,14.49,NA,30,NA,NA,35,NA,NA,18
"941","SNNP","Mizan- Teferi ","April",2018,35.41120174,6.883477024,6.07,14.49,14,14,NA,30,NA,NA,60,22,NA,14.49
"942","SNNP","Deri","April",2018,36.28577951,7.384839762,5.83,NA,11.96,NA,15.58,NA,NA,NA,NA,NA,NA,11.96
"943","SNNP","Amaro Kele ","April",2018,6.083333333,38.03333333,5.6,13.98,NA,NA,NA,27,NA,NA,NA,NA,NA,13.98
"944","SNNP","Soyama","April",2018,5.7,37.88333333,5.19,10.53,9.33,8.63,NA,NA,NA,NA,NA,NA,NA,10.53
"945","SNNP","Karate","April",2018,5.25,37.48333333,6.52,15.15,16.44,13.46,NA,NA,NA,NA,NA,NA,NA,15.15
"946","SNNP","Gidola","April",2018,37.34772952,5.647078098,7.61,15.39,NA,9.94,28,NA,NA,NA,NA,NA,NA,15.39
"947","SNNP","Tercha","April",2018,37.175334,7.146295,5,17,16,15,NA,25.5,NA,NA,NA,NA,NA,17
"948","SNNP","Besite- chere ","April",2018,NA,NA,5.76,18,16,16,25,NA,NA,NA,28,NA,NA,18
"949","SNNP","Lasoka","April",2018,36.60777815,6.30774507,5.6,13.56,NA,11.1,NA,NA,NA,NA,NA,NA,NA,13.56
"950","SNNP","Amaya","April",2018,36.68000727,7.105541206,4.17,13.5,NA,12.19,11,32,NA,NA,NA,NA,NA,13.5
"951","SNNP","Shewa- Bench ","August",2017,NA,NA,5,NA,16,16,NA,30,NA,NA,NA,NA,NA,16
"952","SNNP","Mizan- Teferi ","August",2017,35.41120174,6.883477024,5.4,12,11,12,NA,30,NA,NA,NA,20,NA,12
"953","SNNP","Deri","August",2017,36.28577951,7.384839762,5.83,NA,15.38,NA,15.58,NA,NA,NA,NA,NA,NA,15.38
"954","SNNP","Amaro Kele ","August",2017,6.083333333,38.03333333,5.6,11.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.89
"955","SNNP","Soyama","August",2017,5.7,37.88333333,5.6,10.69,9.73,NA,30.98,NA,NA,NA,NA,NA,NA,10.69
"956","SNNP","Karate","August",2017,5.25,37.48333333,6.27,15.29,16,NA,NA,NA,NA,NA,NA,NA,NA,15.29
"957","SNNP","Gidola","August",2017,37.34772952,5.647078098,4.68,12.87,9.99,NA,15.39,NA,NA,NA,NA,NA,NA,12.87
"958","SNNP","Tercha","August",2017,37.175334,7.146295,4.38,14,13,12,NA,28,NA,NA,NA,NA,NA,14
"959","SNNP","Besite- chere ","August",2017,NA,NA,6.09,10,NA,NA,24,NA,NA,NA,24,NA,NA,10
"960","SNNP","Lasoka","August",2017,36.60777815,6.30774507,5.19,14.04,NA,11.1,NA,NA,NA,NA,NA,NA,NA,14.04
"961","SNNP","Amaya","August",2017,36.68000727,7.105541206,4.19,11.7,11,10.05,NA,28,NA,NA,NA,NA,NA,11.7
"962","SNNP","Shewa- Bench ","December",2017,NA,NA,5,18,15,13,NA,30,NA,NA,35,NA,NA,18
"963","SNNP","Mizan- Teferi ","December",2017,35.41120174,6.883477024,5.92,14,13,13,NA,30,NA,NA,60,20,NA,14
"964","SNNP","Deri","December",2017,36.28577951,7.384839762,5.83,NA,13.67,NA,17.72,NA,NA,NA,NA,NA,NA,13.67
"965","SNNP","Amaro Kele ","December",2017,6.083333333,38.03333333,5.4,10.64,NA,NA,NA,30,NA,NA,NA,NA,NA,10.64
"966","SNNP","Soyama","December",2017,5.7,37.88333333,5.6,8.01,NA,NA,NA,32.5,NA,NA,NA,NA,NA,8.01
"967","SNNP","Karate","December",2017,5.25,37.48333333,6.61,13.36,13.96,13.8,NA,NA,NA,NA,NA,NA,NA,13.36
"968","SNNP","Gidola","December",2017,37.34772952,5.647078098,4.68,9.83,8.91,NA,25,NA,NA,NA,NA,NA,NA,9.83
"969","SNNP","Tercha","December",2017,37.175334,7.146295,5.25,14,12,10,NA,27.5,NA,NA,NA,NA,NA,14
"970","SNNP","Besite- chere ","December",2017,NA,NA,5.71,10,NA,NA,20,NA,NA,NA,NA,NA,NA,10
"971","SNNP","Lasoka","December",2017,36.60777815,6.30774507,6.09,11.36,NA,10.81,NA,NA,NA,NA,NA,NA,NA,11.36
"972","SNNP","Amaya","December",2017,36.68000727,7.105541206,4.19,11.9,11.1,NA,NA,28,NA,NA,NA,NA,NA,11.9
"973","SNNP","Shewa- Bench ","February",2018,NA,NA,5.19,15.49,14,14,NA,30,NA,NA,NA,NA,NA,15.49
"974","SNNP","Mizan- Teferi ","February",2018,35.41120174,6.883477024,6.14,13,12,NA,NA,28,NA,NA,60,22,NA,13
"975","SNNP","Deri","February",2018,36.28577951,7.384839762,5.83,NA,10.43,NA,16,NA,NA,NA,NA,NA,NA,10.43
"976","SNNP","Amaro Kele ","February",2018,6.083333333,38.03333333,5.38,12.7,NA,NA,NA,30,NA,NA,NA,NA,NA,12.7
"977","SNNP","Soyama","February",2018,5.7,37.88333333,5.6,10.81,9.89,9.89,NA,32.4,NA,NA,NA,NA,NA,10.81
"978","SNNP","Karate","February",2018,5.25,37.48333333,6.14,13.46,13.74,11.42,NA,NA,NA,NA,NA,NA,NA,13.46
"979","SNNP","Gidola","February",2018,37.34772952,5.647078098,5.4,15.13,13.48,NA,NA,NA,NA,NA,NA,NA,NA,15.13
"980","SNNP","Tercha","February",2018,37.175334,7.146295,4.8,15,14,12,NA,27.5,NA,NA,NA,NA,NA,15
"981","SNNP","Besite- chere ","February",2018,NA,NA,5.76,12,10,NA,22,NA,NA,NA,32,NA,NA,12
"982","SNNP","Lasoka","February",2018,36.60777815,6.30774507,5.19,14.04,NA,13.33,NA,NA,NA,NA,NA,NA,NA,14.04
"983","SNNP","Amaya","February",2018,36.68000727,7.105541206,4.11,10.01,NA,NA,NA,30,NA,NA,NA,NA,NA,10.01
"984","SNNP","Shewa- Bench ","January",2018,NA,NA,5.19,18,16,16,NA,30,NA,NA,30,NA,NA,18
"985","SNNP","Mizan- Teferi ","January",2018,35.41120174,6.883477024,6.07,13.49,12.49,NA,NA,28.98,NA,NA,60,22,NA,13.49
"986","SNNP","Deri","January",2018,36.28577951,7.384839762,5.83,NA,10.25,NA,20.78,NA,NA,NA,NA,NA,NA,10.25
"987","SNNP","Amaro Kele ","January",2018,6.083333333,38.03333333,6.09,12.83,NA,NA,NA,30,NA,NA,NA,NA,NA,12.83
"988","SNNP","Soyama","January",2018,5.7,37.88333333,5.6,8.74,7.65,NA,30,NA,NA,NA,NA,NA,NA,8.74
"989","SNNP","Karate","January",2018,5.25,37.48333333,6.33,NA,13.77,11.34,NA,NA,NA,NA,NA,NA,NA,11.34
"990","SNNP","Gidola","January",2018,37.34772952,5.647078098,5.05,10.99,13.33,13.87,NA,NA,NA,NA,NA,NA,NA,10.99
"991","SNNP","Tercha","January",2018,37.175334,7.146295,5.12,15,14,12,NA,27.5,NA,NA,NA,NA,NA,15
"992","SNNP","Besite- chere ","January",2018,NA,NA,5.49,12,NA,NA,25,NA,NA,NA,28,NA,NA,12
"993","SNNP","Lasoka","January",2018,36.60777815,6.30774507,6.67,11.75,NA,11.17,NA,NA,NA,NA,NA,NA,NA,11.75
"994","SNNP","Amaya","January",2018,36.68000727,7.105541206,4.2,10.25,NA,NA,NA,28.98,NA,NA,NA,NA,NA,10.25
"995","SNNP","Shewa- Bench ","July",2017,NA,NA,4.67,13,12,12,NA,30,NA,NA,NA,NA,NA,13
"996","SNNP","Mizan- Teferi ","July",2017,35.41120174,6.883477024,5.19,12,11,11,NA,28,NA,NA,NA,20,NA,12
"997","SNNP","Deri","July",2017,36.28577951,7.384839762,5.83,NA,13.91,NA,15.58,NA,NA,NA,NA,NA,NA,13.91
"998","SNNP","Amaro Kele ","July",2017,6.083333333,38.03333333,5.4,12.76,NA,NA,NA,30,NA,NA,NA,NA,NA,12.76
"999","SNNP","Soyama","July",2017,5.7,37.88333333,5.38,10.69,9.73,8.79,28.98,NA,NA,NA,NA,NA,NA,10.69
"1000","SNNP","Karate","July",2017,5.25,37.48333333,6.25,11.43,NA,14.12,NA,NA,NA,NA,NA,NA,NA,11.43
"1001","SNNP","Gidola","July",2017,37.34772952,5.647078098,4.68,12.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.12
"1002","SNNP","Tercha","July",2017,37.175334,7.146295,4.38,16,15,14,NA,27.5,NA,NA,NA,NA,NA,16
"1003","SNNP","Besite- chere ","July",2017,NA,NA,6.09,12,11,NA,20,NA,NA,NA,24,NA,NA,12
"1004","SNNP","Lasoka","July",2017,36.60777815,6.30774507,6.67,10.64,NA,8.62,NA,NA,NA,NA,NA,NA,NA,10.64
"1005","SNNP","Amaya","July",2017,36.68000727,7.105541206,4.22,11.59,10.49,11,NA,28.98,NA,NA,NA,NA,NA,11.59
"1006","SNNP","Shewa- Bench ","June",2018,NA,NA,7,19,17,16,NA,30,NA,NA,35,NA,NA,19
"1007","SNNP","Mizan- Teferi ","June",2018,35.41120174,6.883477024,6.86,17,16,16,28,NA,NA,NA,60,25,NA,17
"1008","SNNP","Deri","June",2018,36.28577951,7.384839762,NA,NA,13.91,NA,NA,32,NA,NA,NA,NA,NA,13.91
"1009","SNNP","Amaro Kele ","June",2018,6.083333333,38.03333333,6.14,16.22,NA,NA,NA,28,NA,NA,NA,NA,NA,16.22
"1010","SNNP","Soyama","June",2018,5.7,37.88333333,5.83,13.36,12.35,11.05,NA,NA,NA,NA,NA,NA,NA,13.36
"1011","SNNP","Karate","June",2018,5.25,37.48333333,6.49,NA,NA,20.31,NA,40,NA,NA,NA,NA,NA,20.31
"1012","SNNP","Gidola","June",2018,37.34772952,5.647078098,6.39,15.39,11.49,NA,28.98,NA,NA,NA,NA,NA,NA,15.39
"1013","SNNP","Tercha","June",2018,37.175334,7.146295,6.37,14,13,12,NA,25.5,NA,NA,NA,NA,NA,14
"1014","SNNP","Besite- chere ","June",2018,NA,NA,5.76,10,NA,NA,NA,25,NA,NA,NA,NA,NA,10
"1015","SNNP","Lasoka","June",2018,36.60777815,6.30774507,7.69,14.04,NA,11.17,NA,NA,NA,NA,NA,NA,NA,14.04
