"","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD_Bread Wheat (Bakery)","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat White","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Black (Red)","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (shelled) Aja","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (unshelled)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","CEREALS MILLED_Emmer Wheat(Aja)","01.2.1.1 COFFEE AND TEA_Malt-Wheat","P R I C E   I N    B I R R_Porridge 'bula' or wheat"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","CEREALS MILLED","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA","P R I C E   I N    B I R R"
"1051","SOMALIE","Kebribeya","July","2018",NA,NA,"-","-","-","-","-","-","-","-","-","-","-"
"1052","SOMALIE","Dolo","July","2018","42.059257","4.179211","-","-","-","-","-","-","-","-","-","-","-"
"1053","SOMALIE","Moyale","July","2018","3.527","39.056","7.29","20.00","16.00","-","25.00","30.00","-","-","-","-","-"
"1054","BENISHANGUL-GUMUZ","Mambook","July","2018",NA,NA,"-","15.00","-","15.00","28.00","-","-","-","40.00","-","-"
"1055","BENISHANGUL-GUMUZ","Mender- Sebat ","July","2018",NA,NA,"6.58","16.00","-","-","30.00","32.40","-","-","-","-","-"
"1056","BENISHANGUL-GUMUZ","Asossa","July","2018","34.53730603","10.05784932","5.47","19.00","-","-","-","27.50","-","-","60.00","-","-"
"1057","BENISHANGUL-GUMUZ","Bambasi","July","2018","34.73046863","9.751504664","5.55","18.72","-","-","30.00","30.00","-","-","40.00","-","-"
"1058","BENISHANGUL-GUMUZ","Kemashi","July","2018","35.85916991","9.515450626","5.00","18.46","-","-","-","-","-","-","40.00","-","-"
"1059","BENISHANGUL-GUMUZ","Agelo- meti ","July","2018","35.77048443","9.640776618","7.87","-","-","-","-","-","-","-","-","-","-"
"1060","BENISHANGUL-GUMUZ","AVERA","July","2018",NA,NA,"6.01","17.36","-","15.00","29.32","29.90","-","-","44.27","-","-"
"1061","SOMALIE","Shinile","March","2019","41.844013","9.686515","-","-","-","15.49","-","-","-","-","-","-","-"
"1062","SOMALIE","Erere","March","2019",NA,NA,"9.55","-","-","10.96","-","-","-","-","-","-","-"
"1063","SOMALIE","Jigjiga","March","2019","42.792342","9.367259","7.50","20.00","-","17.28","-","40.00","-","24.49","-","-","-"
"1064","SOMALIE","Kebribeya","March","2019",NA,NA,"-","-","-","-","-","-","-","-","-","-","-"
"1065","SOMALIE","Dolo","March","2019","42.059257","4.179211","-","-","-","-","-","-","-","-","-","-","-"
"1066","SOMALIE","Moyale","March","2019","3.527","39.056","-","-","-","-","-","-","-","-","-","-","-"
"1067","BENISHANGUL-GUMUZ","Mambook","March","2019",NA,NA,"8.33","17.00","-","-","-","25.00","-","-","40.00","-","-"
"1068","BENISHANGUL-GUMUZ","Mender- Sebat ","March","2019",NA,NA,"6.73","16.00","-","-","-","30.00","-","-","-","-","-"
"1069","BENISHANGUL-GUMUZ","Asossa","March","2019","34.53730603","10.05784932","5.61","20.00","-","-","-","30.00","-","-","60.00","-","-"
"1070","BENISHANGUL-GUMUZ","Bambasi","March","2019","34.73046863","9.751504664","7.83","16.48","-","-","25.00","-","-","-","48.00","-","-"
"1071","BENISHANGUL-GUMUZ","Kemashi","March","2019","35.85916991","9.515450626","-","-","-","-","-","-","-","-","-","-","-"
"1072","BENISHANGUL-GUMUZ","Agelo- meti ","March","2019","35.77048443","9.640776618","-","-","-","-","-","-","-","-","-","-","-"
"1073","BENISHANGUL-GUMUZ","AVERA","March","2019",NA,NA,"7.04","17.30","-","-","25.00","28.23","-","-","48.66","-","-"
"1074","SOMALIE","Shinile","May","2019","41.844013","9.686515","14.00","-","-","15.49","-","-","-","-","-","-","-"
"1075","SOMALIE","Erere","May","2019",NA,NA,"8.08","-","-","16.90","-","-","-","-","-","-","-"
