"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley","CEREALS UNMILLED_Barley White","CEREALS UNMILLED_Barley Mixed","CEREALS UNMILLED_Barley Black","CEREALS UNMILLED_Barley for Beer","CEREALS UNMILLED_Hulled Barley","P R I C E   I N    B I R R_Malt-Barley"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA",NA,NA,NA,NA,NA,NA
"2","ADDIS","addis ababa","April","2017","38.793806","9.023748","13.49","11.49","12.875","13.745","35",NA,NA,"25.595",NA,NA,NA,NA,NA,NA
"3","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA",NA,NA,NA,NA,NA,NA
"4","ADDIS","addis ababa","April","2017","38.793806","9.023748","13.49","11.49","12.875","13.745","35",NA,NA,"25.595",NA,NA,NA,NA,NA,NA
"5","ADDIS","addis ababa","August","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"13.165","10","12","12.66",NA,"30.245"
"6","ADDIS","addis ababa","December","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"13.47","10.49","12","12.66","25","30.485"
"7","ADDIS","addis ababa","February","2017","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"12.66","11","12.16","13",NA,"29.99"
"8","ADDIS","addis ababa","January","2017","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"13.165","11","12.16","12.66","20","30.15"
"9","ADDIS","addis ababa","July","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"13.32","10","12.16","12.83",NA,"29.795"
"10","ADDIS","addis ababa","June","2017","38.793806","9.023748","14","13.25","13.745","14.62","37.5",NA,NA,"29.21",NA,NA,NA,NA,NA,NA
"11","ADDIS","addis ababa","March","2017","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"13.33","10.5","12","13","25","24.78"
"12","ADDIS","addis ababa","May","2017","38.793806","9.023748","14","13.25","13.745","14.62","37.5",NA,NA,"29.21",NA,NA,NA,NA,NA,NA
"13","ADDIS","addis ababa","November","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"13.495","10","12","12.83","20","32.67"
"14","ADDIS","addis ababa","October","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"12.985","10.5","12.16","13",NA,"30.53"
"15","ADDIS","addis ababa","September","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"13.245","10.66","12.49","13.33","22.5","31.165"
"16","AMHARA","Chuahit","April","2017","39.311961","10.643157","-","9.37","-","-","-","-","-","15.15",NA,NA,NA,NA,NA,NA
"17","AMHARA","Gondar","April","2017","37.46149667","12.59878688","11.75","-","-","-","20.00","-","-","-",NA,NA,NA,NA,NA,NA
"18","AMHARA","Esete","April","2017","37.88657423","10.92298692","10.96","10.83","10.63","14.33","17.69","-","-","11.34",NA,NA,NA,NA,NA,NA
"19","AMHARA","Debre- Tabor ","April","2017","38.00833967","11.84769551","-","9.16","11.91","12.45","15.68","-","-","21.97",NA,NA,NA,NA,NA,NA
"20","AMHARA","Kobo","April","2017","39.63127424","12.16406542","12.18","9.58","-","-","-","-","-","13.07",NA,NA,NA,NA,NA,NA
"21","AMHARA","Weldiya","April","2017","39.6014117","11.82360232","13.20","9.42","10.58","-","19.05","-","-","20.52",NA,NA,NA,NA,NA,NA
"22","AMHARA","Kombolcha","April","2017","39.73724188","11.07807805","12.18","9.32","9.22","-","31.39","-","-","57.17",NA,NA,NA,NA,NA,NA
"23","AMHARA","Dessie","April","2017","39.63548793","11.11703902","6.24","-","6.00","-","-","-","-","17.91",NA,NA,NA,NA,NA,NA
"24","AMHARA","Shewa- Robit ","April","2017","39.90269733","10.00580856","11.00","-","11.27","11.47","34.60","-","-","10.88",NA,NA,NA,NA,NA,NA
"25","AMHARA","Debre-¦","April","2017","39.52890047","9.67650294","8.75","8.50","-","10.49","-","-","-","33.33",NA,NA,NA,NA,NA,NA
"26","AMHARA","Chuahit","August","2016","39.311961","10.643157",NA,NA,NA,NA,NA,"-","-",NA,"-","7.00","-","-","-","14.93"
"27","AMHARA","Gondar","August","2016","37.46149667","12.59878688",NA,NA,NA,NA,NA,"-","-",NA,"11.83","-","-","-","16.83","14.00"
"28","AMHARA","Esete","August","2016","37.88657423","10.92298692",NA,NA,NA,NA,NA,"-","-",NA,"7.80","7.73","6.77","9.66","16.33","11.25"
"29","AMHARA","Debre- Tabor ","August","2016","38.00833967","11.84769551",NA,NA,NA,NA,NA,"-","-",NA,"-","8.46","9.56","-","17.24","11.50"
"30","AMHARA","Kobo","August","2016","39.63127424","12.16406542",NA,NA,NA,NA,NA,"-","-",NA,"10.36","-","-","-","-","19.48"
"31","AMHARA","Weldiya","August","2016","39.6014117","11.82360232",NA,NA,NA,NA,NA,"-","-",NA,"13.32","10.15","9.06","-","11.88","16.67"
"32","AMHARA","Kombolcha","August","2016","39.73724188","11.07807805",NA,NA,NA,NA,NA,"-","-",NA,"12.17","9.31","9.31","-","34.49","-"
"33","AMHARA","Dessie","August","2016","39.63548793","11.11703902",NA,NA,NA,NA,NA,"-","-",NA,"8.78","7.86","-","-","22.36","13.16"
"34","AMHARA","Shewa- Robit ","August","2016","39.90269733","10.00580856",NA,NA,NA,NA,NA,"-","-",NA,"10.16","-","10.39","12.24","34.56","12.94"
"35","AMHARA","Debre-¦","August","2016","39.52890047","9.67650294",NA,NA,NA,NA,NA,"-","-",NA,"7.50","5.66","-","10.00","-","15.43"
"36","AMHARA","Chuahit","December","2016","39.311961","10.643157",NA,NA,NA,NA,NA,"-","-",NA,"-","5.00","-","-","-","12.11"
"37","AMHARA","Gondar","December","2016","37.46149667","12.59878688",NA,NA,NA,NA,NA,"-","-",NA,"11.33","-","-","-","16.00","-"
"38","AMHARA","Esete","December","2016","37.88657423","10.92298692",NA,NA,NA,NA,NA,"-","-",NA,"8.24","8.54","6.78","9.58","14.91","10000.00"
"39","AMHARA","Debre- Tabor ","December","2016","38.00833967","11.84769551",NA,NA,NA,NA,NA,"-","-",NA,"-","11.00","8.79","14.26","16.32","11.73"
"40","AMHARA","Kobo","December","2016","39.63127424","12.16406542",NA,NA,NA,NA,NA,"-","-",NA,"9.53","9.34","-","-","-","-"
"41","AMHARA","Weldiya","December","2016","39.6014117","11.82360232",NA,NA,NA,NA,NA,"-","-",NA,"12.62","9.55","8.63","-","-","16.64"
"42","AMHARA","Kombolcha","December","2016","39.73724188","11.07807805",NA,NA,NA,NA,NA,"-","-",NA,"12.12","9.44","8.66","-","34.50","-"
"43","AMHARA","Dessie","December","2016","39.63548793","11.11703902",NA,NA,NA,NA,NA,"-","-",NA,"8.38","-","6.77","-","-","14.83"
"44","AMHARA","Shewa- Robit ","December","2016","39.90269733","10.00580856",NA,NA,NA,NA,NA,"-","-",NA,"9.79","-","9.11","11.86","-","12.86"
"45","AMHARA","Debre-¦","December","2016","39.52890047","9.67650294",NA,NA,NA,NA,NA,"-","-",NA,"7.83","5.65","-","10.00","-","15.54"
"46","AMHARA","Chuahit","February","2017","39.311961","10.643157",NA,NA,NA,NA,NA,"-","-",NA,"-","6.00","-","-","-","14.96"
"47","AMHARA","Gondar","February","2017","37.46149667","12.59878688",NA,NA,NA,NA,NA,"-","-",NA,"11.33","-","-","-","17.33","-"
"48","AMHARA","Esete","February","2017","37.88657423","10.92298692",NA,NA,NA,NA,NA,"-","-",NA,"9.67","9.67","7.85","11.08","-","11.49"
"49","AMHARA","Debre- Tabor ","February","2017","38.00833967","11.84769551",NA,NA,NA,NA,NA,"-","-",NA,"-","10.52","10.14","-","16.33","18.30"
"50","AMHARA","Kobo","February","2017","39.63127424","12.16406542",NA,NA,NA,NA,NA,"-","-",NA,"11.57","-","18.58","-","-","11.07"
"51","AMHARA","Weldiya","February","2017","39.6014117","11.82360232",NA,NA,NA,NA,NA,"-","-",NA,"13.87","9.42","10.53","-","16.14","20.34"
"52","AMHARA","Kombolcha","February","2017","39.73724188","11.07807805",NA,NA,NA,NA,NA,"-","-",NA,"11.59","9.42","9.51","-","34.11","-"
"53","AMHARA","Dessie","February","2017","39.63548793","11.11703902",NA,NA,NA,NA,NA,"-","-",NA,"8.59","-","7.38","-","-","15.63"
"54","AMHARA","Shewa- Robit ","February","2017","39.90269733","10.00580856",NA,NA,NA,NA,NA,"-","-",NA,"10.09","-","10.02","11.74","27.73","12.10"
"55","AMHARA","Debre-¦","February","2017","39.52890047","9.67650294",NA,NA,NA,NA,NA,"-","-",NA,"7.66","7.16","-","11.00","-","18.02"
"56","AMHARA","Chuahit","January","2017","39.311961","10.643157",NA,NA,NA,NA,NA,"-","-",NA,"-","5.50","-","-","-","13.57"
"57","AMHARA","Gondar","January","2017","37.46149667","12.59878688",NA,NA,NA,NA,NA,"-","-",NA,"11.50","-","-","-","17.33","-"
"58","AMHARA","Esete","January","2017","37.88657423","10.92298692",NA,NA,NA,NA,NA,"-","-",NA,"8.52","8.32","7.30","9.30","17.27","13.75"
"59","AMHARA","Debre- Tabor ","January","2017","38.00833967","11.84769551",NA,NA,NA,NA,NA,"-","-",NA,"-","11.88","10.53","17.37","16.47","14.00"
"60","AMHARA","Kobo","January","2017","39.63127424","12.16406542",NA,NA,NA,NA,NA,"-","-",NA,"10.56","-","-","-","-","18.39"
"61","AMHARA","Weldiya","January","2017","39.6014117","11.82360232",NA,NA,NA,NA,NA,"-","-",NA,"12.49","9.73","9.09","-","14.97","16.64"
"62","AMHARA","Kombolcha","January","2017","39.73724188","11.07807805",NA,NA,NA,NA,NA,"-","-",NA,"12.50","9.52","9.75","-","33.74","-"
"63","AMHARA","Dessie","January","2017","39.63548793","11.11703902",NA,NA,NA,NA,NA,"-","-",NA,"8.00","-","6.40","-","-","15.47"
"64","AMHARA","Shewa- Robit ","January","2017","39.90269733","10.00580856",NA,NA,NA,NA,NA,"-","-",NA,"10.26","-","-","11.73","-","11.78"
"65","AMHARA","Debre-¦","January","2017","39.52890047","9.67650294",NA,NA,NA,NA,NA,"-","-",NA,"8.00","7.16","-","11.00","-","15.67"
"66","AMHARA","Chuahit","July","2016","39.311961","10.643157",NA,NA,NA,NA,NA,"-","-",NA,"-","7.33","-","-","-","-"
"67","AMHARA","Gondar","July","2016","37.46149667","12.59878688",NA,NA,NA,NA,NA,"-","-",NA,"11.00","-","-","-","16.00","-"
"68","AMHARA","Esete","July","2016","37.88657423","10.92298692",NA,NA,NA,NA,NA,"-","-",NA,"-","6.68","5.93","9.92","16.62","10.17"
"69","AMHARA","Debre- Tabor ","July","2016","38.00833967","11.84769551",NA,NA,NA,NA,NA,"-","-",NA,"-","6.77","7.79","13.19","17.17","14.13"
"70","AMHARA","Kobo","July","2016","39.63127424","12.16406542",NA,NA,NA,NA,NA,"-","-",NA,"10.17","9.78","-","-","-","20.09"
"71","AMHARA","Weldiya","July","2016","39.6014117","11.82360232",NA,NA,NA,NA,NA,"-","-",NA,"14.71","10.66","8.97","-","11.37","17.52"
"72","AMHARA","Kombolcha","July","2016","39.73724188","11.07807805",NA,NA,NA,NA,NA,"-","-",NA,"13.11","11.03","9.54","-","-","40.40"
"73","AMHARA","Dessie","July","2016","39.63548793","11.11703902",NA,NA,NA,NA,NA,"-","-",NA,"8.68","8.26","-","-","-","15.84"
"74","AMHARA","Shewa- Robit ","July","2016","39.90269733","10.00580856",NA,NA,NA,NA,NA,"-","-",NA,"10.14","-","10.13","11.93","-","12.31"
"75","AMHARA","Debre-¦","July","2016","39.52890047","9.67650294",NA,NA,NA,NA,NA,"-","-",NA,"7.66","5.66","-","10.00","-","15.38"
"76","AMHARA","Chuahit","June","2017","39.311961","10.643157","-","10.49","-","-","-","-","-","14.31",NA,NA,NA,NA,NA,NA
"77","AMHARA","Gondar","June","2017","37.46149667","12.59878688","12.50","-","-","-","18.25","-","-","-",NA,NA,NA,NA,NA,NA
"78","AMHARA","Esete","June","2017","37.88657423","10.92298692","10.40","10.38","9.51","10.85","18.60","-","-","11.91",NA,NA,NA,NA,NA,NA
"79","AMHARA","Debre- Tabor ","June","2017","38.00833967","11.84769551","-","12.42","13.26","12.76","17.35","-","-","13.90",NA,NA,NA,NA,NA,NA
"80","AMHARA","Kobo","June","2017","39.63127424","12.16406542","12.19","-","-","-","-","-","-","21.59",NA,NA,NA,NA,NA,NA
"81","AMHARA","Weldiya","June","2017","39.6014117","11.82360232","14.14","9.57","10.81","-","19.67","-","-","20.25",NA,NA,NA,NA,NA,NA
"82","AMHARA","Kombolcha","June","2017","39.73724188","11.07807805","13.00","10.00","10.00","-","32.73","-","-","-",NA,NA,NA,NA,NA,NA
"83","AMHARA","Dessie","June","2017","39.63548793","11.11703902","7.00","-","6.24","-","-","-","-","18.46",NA,NA,NA,NA,NA,NA
"84","AMHARA","Shewa- Robit ","June","2017","39.90269733","10.00580856","12.74","-","12.16","13.21","-","-","-","16.01",NA,NA,NA,NA,NA,NA
"85","AMHARA","Debre-¦","June","2017","39.52890047","9.67650294","-","9.00","-","-","-","-","-","33.56",NA,NA,NA,NA,NA,NA
"86","AMHARA","Chuahit","March","2017","39.311961","10.643157",NA,NA,NA,NA,NA,"-","-",NA,"-","8.83","-","-","-","14.37"
"87","AMHARA","Gondar","March","2017","37.46149667","12.59878688",NA,NA,NA,NA,NA,"-","-",NA,"11.33","-","-","-","16.66","-"
"88","AMHARA","Esete","March","2017","37.88657423","10.92298692",NA,NA,NA,NA,NA,"-","-",NA,"9.52","9.49","8.13","12.96","20.34","10.69"
"89","AMHARA","Debre- Tabor ","March","2017","38.00833967","11.84769551",NA,NA,NA,NA,NA,"-","-",NA,"10.25","11.02","11.23","17.04","16.34","11.54"
"90","AMHARA","Kobo","March","2017","39.63127424","12.16406542",NA,NA,NA,NA,NA,"-","-",NA,"11.46","-","-","-","-","16.44"
"91","AMHARA","Weldiya","March","2017","39.6014117","11.82360232",NA,NA,NA,NA,NA,"-","-",NA,"12.81","9.72","9.52","-","16.14","20.34"
"92","AMHARA","Kombolcha","March","2017","39.73724188","11.07807805",NA,NA,NA,NA,NA,"-","-",NA,"10.97","8.97","8.63","-","32.20","-"
"93","AMHARA","Dessie","March","2017","39.63548793","11.11703902",NA,NA,NA,NA,NA,"-","-",NA,"8.78","-","8.22","-","-","15.63"
"94","AMHARA","Shewa- Robit ","March","2017","39.90269733","10.00580856",NA,NA,NA,NA,NA,"-","-",NA,"9.88","-","10.36","12.02","33.56","12.92"
"95","AMHARA","Debre-¦","March","2017","39.52890047","9.67650294",NA,NA,NA,NA,NA,"-","-",NA,"8.00","7.83","-","10.32","-","15.67"
"96","AMHARA","Chuahit","May","2017","39.311961","10.643157","-","10.49","-","-","-","-","-","14.31",NA,NA,NA,NA,NA,NA
"97","AMHARA","Gondar","May","2017","37.46149667","12.59878688","12.50","-","-","-","18.25","-","-","-",NA,NA,NA,NA,NA,NA
"98","AMHARA","Esete","May","2017","37.88657423","10.92298692","10.40","10.38","9.51","10.85","18.60","-","-","11.91",NA,NA,NA,NA,NA,NA
"99","AMHARA","Debre- Tabor ","May","2017","38.00833967","11.84769551","-","12.42","13.26","12.76","17.35","-","-","13.90",NA,NA,NA,NA,NA,NA
"100","AMHARA","Kobo","May","2017","39.63127424","12.16406542","12.19","-","-","-","-","-","-","21.59",NA,NA,NA,NA,NA,NA
"101","AMHARA","Weldiya","May","2017","39.6014117","11.82360232","14.14","9.57","10.81","-","19.67","-","-","20.25",NA,NA,NA,NA,NA,NA
"102","AMHARA","Kombolcha","May","2017","39.73724188","11.07807805","13.00","10.00","10.00","-","32.73","-","-","-",NA,NA,NA,NA,NA,NA
"103","AMHARA","Dessie","May","2017","39.63548793","11.11703902","7.00","-","6.24","-","-","-","-","18.46",NA,NA,NA,NA,NA,NA
"104","AMHARA","Shewa- Robit ","May","2017","39.90269733","10.00580856","12.74","-","12.16","13.21","-","-","-","16.01",NA,NA,NA,NA,NA,NA
"105","AMHARA","Debre-¦","May","2017","39.52890047","9.67650294","-","9.00","-","-","-","-","-","33.56",NA,NA,NA,NA,NA,NA
"106","AMHARA","Chuahit","November","2016","39.311961","10.643157",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","11.58"
"107","AMHARA","Gondar","November","2016","37.46149667","12.59878688",NA,NA,NA,NA,NA,"-","-",NA,"11.16","-","-","-","15.33","-"
"108","AMHARA","Esete","November","2016","37.88657423","10.92298692",NA,NA,NA,NA,NA,"-","-",NA,"7.87","7.75","6.72","9.47","15.47","10.44"
"109","AMHARA","Debre- Tabor ","November","2016","38.00833967","11.84769551",NA,NA,NA,NA,NA,"-","-",NA,"-","10.14","9.99","-","15.66","18.44"
"110","AMHARA","Kobo","November","2016","39.63127424","12.16406542",NA,NA,NA,NA,NA,"-","-",NA,"9.75","9.69","-","-","-","18.16"
"111","AMHARA","Weldiya","November","2016","39.6014117","11.82360232",NA,NA,NA,NA,NA,"-","-",NA,"12.32","9.59","7.91","-","11.61","20.67"
"112","AMHARA","Kombolcha","November","2016","39.73724188","11.07807805",NA,NA,NA,NA,NA,"-","-",NA,"12.32","9.76","8.89","-","35.30","40.40"
"113","AMHARA","Dessie","November","2016","39.63548793","11.11703902",NA,NA,NA,NA,NA,"-","-",NA,"6.60","-","6.58","-","22.86","13.94"
"114","AMHARA","Shewa- Robit ","November","2016","39.90269733","10.00580856",NA,NA,NA,NA,NA,"-","-",NA,"9.21","-","9.09","12.05","27.13","14.01"
"115","AMHARA","Debre-¦","November","2016","39.52890047","9.67650294",NA,NA,NA,NA,NA,"-","-",NA,"7.83","5.65","-","10.00","-","15.19"
"116","AMHARA","Chuahit","October","2016","39.311961","10.643157",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","12.15"
"117","AMHARA","Gondar","October","2016","37.46149667","12.59878688",NA,NA,NA,NA,NA,"-","-",NA,"11.00","-","-","-","17.33","14.00"
"118","AMHARA","Esete","October","2016","37.88657423","10.92298692",NA,NA,NA,NA,NA,"-","-",NA,"7.65","7.62","6.89","9.57","14.31","10.40"
"119","AMHARA","Debre- Tabor ","October","2016","38.00833967","11.84769551",NA,NA,NA,NA,NA,"-","-",NA,"-","7.54","10.04","12.97","16.16","11.29"
"120","AMHARA","Kobo","October","2016","39.63127424","12.16406542",NA,NA,NA,NA,NA,"-","-",NA,"9.67","-","-","-","-","15.98"
"121","AMHARA","Weldiya","October","2016","39.6014117","11.82360232",NA,NA,NA,NA,NA,"-","-",NA,"12.79","9.40","9.00","-","15.76","16.64"
"122","AMHARA","Kombolcha","October","2016","39.73724188","11.07807805",NA,NA,NA,NA,NA,"-","-",NA,"12.11","9.30","9.49","-","-","41.23"
"123","AMHARA","Dessie","October","2016","39.63548793","11.11703902",NA,NA,NA,NA,NA,"-","-",NA,"9.05","8.11","-","-","19.77","16.52"
"124","AMHARA","Shewa- Robit ","October","2016","39.90269733","10.00580856",NA,NA,NA,NA,NA,"-","-",NA,"11.41","-","11.60","12.38","27.35","12.99"
"125","AMHARA","Debre-¦","October","2016","39.52890047","9.67650294",NA,NA,NA,NA,NA,"-","-",NA,"7.33","6.00","-","10.49","-","15.27"
"126","AMHARA","Chuahit","September","2016","39.311961","10.643157",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","13.66"
"127","AMHARA","Gondar","September","2016","37.46149667","12.59878688",NA,NA,NA,NA,NA,"-","-",NA,"11.83","-","-","-","16.83","16.33"
"128","AMHARA","Esete","September","2016","37.88657423","10.92298692",NA,NA,NA,NA,NA,"-","-",NA,"7.53","7.66","12.96","10.70","16.06","10.11"
"129","AMHARA","Debre- Tabor ","September","2016","38.00833967","11.84769551",NA,NA,NA,NA,NA,"-","-",NA,"-","8.50","8.37","9.04","17.18","12.23"
"130","AMHARA","Kobo","September","2016","39.63127424","12.16406542",NA,NA,NA,NA,NA,"-","-",NA,"9.55","10.49","-","-","-","19.15"
"131","AMHARA","Weldiya","September","2016","39.6014117","11.82360232",NA,NA,NA,NA,NA,"-","-",NA,"12.45","9.93","8.00","-","16.27","15.81"
"132","AMHARA","Kombolcha","September","2016","39.73724188","11.07807805",NA,NA,NA,NA,NA,"-","-",NA,"12.35","9.20","9.08","-","34.92","-"
"133","AMHARA","Dessie","September","2016","39.63548793","11.11703902",NA,NA,NA,NA,NA,"-","-",NA,"10.62","9.61","-","-","22.88","14.53"
"134","AMHARA","Shewa- Robit ","September","2016","39.90269733","10.00580856",NA,NA,NA,NA,NA,"-","-",NA,"9.74","-","9.79","11.79","25.02","12.98"
"135","AMHARA","Debre-¦","September","2016","39.52890047","9.67650294",NA,NA,NA,NA,NA,"-","-",NA,"7.33","-","7.00","10.00","-","15.51"
"136","AMHARa","Mota","April","2017","37.8807432","11.07475582","-","-","12.50","-","20.00","-","-","22.43",NA,NA,NA,NA,NA,NA
"137","AMHARa","Debre- markos ","April","2017","37.72636868","10.33641293","10.68","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"138","AMHARa","Dembecha","April","2017","37.48251554","10.56669266","15.00","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"139","AMHARa","Bahir- Dar ","April","2017","37.3815488","11.58416449","12.49","-","11.49","-","22.49","-","-","16.49",NA,NA,NA,NA,NA,NA
"140","AMHARa","Sekota","April","2017","39.03355257","12.62479803","10.00","9.34","9.58","-","-","-","-","17.87",NA,NA,NA,NA,NA,NA
"141","AMHARa","Amde Work ","April","2017","38.85815043","12.45920199","12.37","11.88","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"142","AMHARa","Danigla","April","2017","36.83153176","11.25223153","12.21","-","-","-","-","-","-","14.82",NA,NA,NA,NA,NA,NA
"143","AMHARa","Chagni","April","2017","36.50793596","10.95196565","12.00","-","10.00","-","-","-","-","9.53",NA,NA,NA,NA,NA,NA
"144","AMHARa","Kemise","April","2017","39.85696873","10.71374234","13.11","11.59","-","-","-","-","-","29.70",NA,NA,NA,NA,NA,NA
"145","AMHARa","Bati","April","2017","40.0181327","11.19153266","12.14","-","-","-","-","-","-","41.68",NA,NA,NA,NA,NA,NA
"146","AMHARa","Mota","August","2016","37.8807432","11.07475582",NA,NA,NA,NA,NA,"-","-",NA,"18.64","-","14.38","-","16.86","-"
"147","AMHARa","Debre- markos ","August","2016","37.72636868","10.33641293",NA,NA,NA,NA,NA,"-","-",NA,"9.07","-","-","-","14.67","-"
"148","AMHARa","Dembecha","August","2016","37.48251554","10.56669266",NA,NA,NA,NA,NA,"-","-",NA,"16.00","-","-","-","-","-"
"149","AMHARa","Bahir- Dar ","August","2016","37.3815488","11.58416449",NA,NA,NA,NA,NA,"-","-",NA,"13.30","-","12.32","-","20.00","16.66"
"150","AMHARa","Sekota","August","2016","39.03355257","12.62479803",NA,NA,NA,NA,NA,"-","-",NA,"10.25","9.90","9.53","-","-","18.71"
"151","AMHARa","Amde Work ","August","2016","38.85815043","12.45920199",NA,NA,NA,NA,NA,"-","-",NA,"10.87","-","-","-","-","-"
"152","AMHARa","Danigla","August","2016","36.83153176","11.25223153",NA,NA,NA,NA,NA,"-","-",NA,"14.31","-","-","-","-","15.42"
"153","AMHARa","Chagni","August","2016","36.50793596","10.95196565",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","9.00","-","-","10.73"
"154","AMHARa","Kemise","August","2016","39.85696873","10.71374234",NA,NA,NA,NA,NA,"-","-",NA,"11.47","10.40","10.73","-","-","23.54"
"155","AMHARa","Bati","August","2016","40.0181327","11.19153266",NA,NA,NA,NA,NA,"30.00","-",NA,"11.85","-","-","-","-","35.50"
"156","AMHARa","Mota","December","2016","37.8807432","11.07475582",NA,NA,NA,NA,NA,"-","-",NA,"20.93","-","14.58","-","21.18","-"
"157","AMHARa","Debre- markos ","December","2016","37.72636868","10.33641293",NA,NA,NA,NA,NA,"-","-",NA,"12.44","-","-","-","15.17","-"
"158","AMHARa","Dembecha","December","2016","37.48251554","10.56669266",NA,NA,NA,NA,NA,"-","-",NA,"16.00","-","-","-","-","-"
"159","AMHARa","Bahir- Dar ","December","2016","37.3815488","11.58416449",NA,NA,NA,NA,NA,"-","-",NA,"13.16","-","11.00","-","20.00","16.33"
"160","AMHARa","Sekota","December","2016","39.03355257","12.62479803",NA,NA,NA,NA,NA,"-","-",NA,"8.14","8.05","9.28","-","-","10.79"
"161","AMHARa","Amde Work ","December","2016","38.85815043","12.45920199",NA,NA,NA,NA,NA,"-","-",NA,"9.65","-","-","-","-","-"
"162","AMHARa","Danigla","December","2016","36.83153176","11.25223153",NA,NA,NA,NA,NA,"-","-",NA,"16.44","-","-","-","-","14.31"
"163","AMHARa","Chagni","December","2016","36.50793596","10.95196565",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","8.00","-","-","9.69"
"164","AMHARa","Kemise","December","2016","39.85696873","10.71374234",NA,NA,NA,NA,NA,"-","-",NA,"11.28","10.36","11.39","-","-","24.69"
"165","AMHARa","Bati","December","2016","40.0181327","11.19153266",NA,NA,NA,NA,NA,"30.00","-",NA,"11.01","-","-","-","-","-"
"166","AMHARa","Mota","February","2017","37.8807432","11.07475582",NA,NA,NA,NA,NA,"-","-",NA,"20.83","-","13.82","-","20.32","16.66"
"167","AMHARa","Debre- markos ","February","2017","37.72636868","10.33641293",NA,NA,NA,NA,NA,"-","-",NA,"9.91","-","-","-","13.61","-"
"168","AMHARa","Dembecha","February","2017","37.48251554","10.56669266",NA,NA,NA,NA,NA,"-","-",NA,"16.00","-","-","-","-","-"
"169","AMHARa","Bahir- Dar ","February","2017","37.3815488","11.58416449",NA,NA,NA,NA,NA,"-","-",NA,"12.32","-","11.66","-","21.33","16.66"
"170","AMHARa","Sekota","February","2017","39.03355257","12.62479803",NA,NA,NA,NA,NA,"-","-",NA,"8.59","8.69","9.28","-","-","20.98"
"171","AMHARa","Amde Work ","February","2017","38.85815043","12.45920199",NA,NA,NA,NA,NA,"-","-",NA,"10.38","10.08","-","-","-","-"
"172","AMHARa","Danigla","February","2017","36.83153176","11.25223153",NA,NA,NA,NA,NA,"-","-",NA,"12.12","-","-","-","-","14.31"
"173","AMHARa","Chagni","February","2017","36.50793596","10.95196565",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","8.16","-","-","10.73"
"174","AMHARa","Kemise","February","2017","39.85696873","10.71374234",NA,NA,NA,NA,NA,"-","-",NA,"11.06","11.47","11.34","-","-","23.54"
"175","AMHARa","Bati","February","2017","40.0181327","11.19153266",NA,NA,NA,NA,NA,"30.00","-",NA,"11.61","-","-","-","-","36.79"
"176","AMHARa","Mota","January","2017","37.8807432","11.07475582",NA,NA,NA,NA,NA,"-","-",NA,"20.55","-","13.82","-","20.70","8.57"
"177","AMHARa","Debre- markos ","January","2017","37.72636868","10.33641293",NA,NA,NA,NA,NA,"-","-",NA,"9.73","-","-","-","-","-"
