"","Region","Market","Month","Year","Longitude","Latitude","pkg.mai.maize","pkg.mai.millm"
"61","Amhara","Shewa- Robit ","January",2018,39.90269733,10.00580856,7.45,NA
"62","Amhara","Debre-¦","January",2018,39.52890047,9.67650294,7,NA
"63","Amhara","Chuahit","July",2017,39.311961,10.643157,8,NA
"64","Amhara","Gondar","July",2017,37.46149667,12.59878688,8.75,NA
"65","Amhara","Esete","July",2017,37.88657423,10.92298692,9.77,NA
"66","Amhara","Debre- Tabor ","July",2017,38.00833967,11.84769551,8.82,NA
"67","Amhara","Kobo","July",2017,39.63127424,12.16406542,6.4,NA
"68","Amhara","Weldiya","July",2017,39.6014117,11.82360232,9.83,NA
"69","Amhara","Kombolcha","July",2017,39.73724188,11.07807805,8.5,NA
"70","Amhara","Dessie","July",2017,39.63548793,11.11703902,6.5,NA
"71","Amhara","Shewa- Robit ","July",2017,39.90269733,10.00580856,7.45,NA
"72","Amhara","Debre-¦","July",2017,39.52890047,9.67650294,8,NA
"73","Amhara","Chuahit","June",2018,39.311961,10.643157,7.75,NA
"74","Amhara","Gondar","June",2018,37.46149667,12.59878688,8,NA
"75","Amhara","Esete","June",2018,37.88657423,10.92298692,8.39,NA
"76","Amhara","Debre- Tabor ","June",2018,38.00833967,11.84769551,8.94,NA
"77","Amhara","Kobo","June",2018,39.63127424,12.16406542,8.06,NA
"78","Amhara","Weldiya","June",2018,39.6014117,11.82360232,10.63,NA
"79","Amhara","Kombolcha","June",2018,39.73724188,11.07807805,9.47,NA
"80","Amhara","Dessie","June",2018,39.63548793,11.11703902,9.08,NA
"81","Amhara","Shewa- Robit ","June",2018,39.90269733,10.00580856,9.14,NA
"82","Amhara","Debre-¦","June",2018,39.52890047,9.67650294,8,NA
"83","Amhara","Chuahit","March",2018,39.311961,10.643157,8,NA
"84","Amhara","Gondar","March",2018,37.46149667,12.59878688,8,NA
"85","Amhara","Esete","March",2018,37.88657423,10.92298692,9.98,NA
"86","Amhara","Debre- Tabor ","March",2018,38.00833967,11.84769551,8.13,NA
"87","Amhara","Kobo","March",2018,39.63127424,12.16406542,6.95,NA
"88","Amhara","Weldiya","March",2018,39.6014117,11.82360232,9.81,NA
"89","Amhara","Kombolcha","March",2018,39.73724188,11.07807805,7.5,NA
"90","Amhara","Dessie","March",2018,39.63548793,11.11703902,8.25,NA
"91","Amhara","Shewa- Robit ","March",2018,39.90269733,10.00580856,8.3,NA
"92","Amhara","Debre-¦","March",2018,39.52890047,9.67650294,7.75,NA
"93","Amhara","Chuahit","May",2018,39.311961,10.643157,7,NA
"94","Amhara","Gondar","May",2018,37.46149667,12.59878688,7.75,NA
"95","Amhara","Esete","May",2018,37.88657423,10.92298692,8.31,NA
"96","Amhara","Debre- Tabor ","May",2018,38.00833967,11.84769551,8.08,NA
"97","Amhara","Kobo","May",2018,39.63127424,12.16406542,8.49,NA
"98","Amhara","Weldiya","May",2018,39.6014117,11.82360232,9.81,NA
"99","Amhara","Kombolcha","May",2018,39.73724188,11.07807805,9.64,NA
"100","Amhara","Dessie","May",2018,39.63548793,11.11703902,8.26,NA
"101","Amhara","Shewa- Robit ","May",2018,39.90269733,10.00580856,9.04,NA
"102","Amhara","Debre-¦","May",2018,39.52890047,9.67650294,7.75,NA
"103","Amhara","Chuahit","November",2017,39.311961,10.643157,NA,NA
"104","Amhara","Gondar","November",2017,37.46149667,12.59878688,8,NA
"105","Amhara","Esete","November",2017,37.88657423,10.92298692,10.14,NA
"106","Amhara","Debre- Tabor ","November",2017,38.00833967,11.84769551,10.76,NA
"107","Amhara","Kobo","November",2017,39.63127424,12.16406542,7.4,NA
"108","Amhara","Weldiya","November",2017,39.6014117,11.82360232,10.59,NA
"109","Amhara","Kombolcha","November",2017,39.73724188,11.07807805,10,NA
"110","Amhara","Dessie","November",2017,39.63548793,11.11703902,8.25,NA
"111","Amhara","Shewa- Robit ","November",2017,39.90269733,10.00580856,7.84,NA
"112","Amhara","Debre-¦","November",2017,39.52890047,9.67650294,7.5,NA
"113","Amhara","Chuahit","October",2017,39.311961,10.643157,9,NA
"114","Amhara","Gondar","October",2017,37.46149667,12.59878688,9.75,NA
"115","Amhara","Esete","October",2017,37.88657423,10.92298692,9.9,NA
"116","Amhara","Debre- Tabor ","October",2017,38.00833967,11.84769551,9.96,NA
"117","Amhara","Kobo","October",2017,39.63127424,12.16406542,7.65,NA
"118","Amhara","Weldiya","October",2017,39.6014117,11.82360232,9.01,NA
"119","Amhara","Kombolcha","October",2017,39.73724188,11.07807805,9.5,NA
"120","Amhara","Dessie","October",2017,39.63548793,11.11703902,8.5,NA
"121","Amhara","Shewa- Robit ","October",2017,39.90269733,10.00580856,9.16,NA
"122","Amhara","Debre-¦","October",2017,39.52890047,9.67650294,10,NA
"123","Amhara","Chuahit","September",2017,39.311961,10.643157,9.5,NA
"124","Amhara","Gondar","September",2017,37.46149667,12.59878688,9.5,NA
"125","Amhara","Esete","September",2017,37.88657423,10.92298692,9.82,NA
"126","Amhara","Debre- Tabor ","September",2017,38.00833967,11.84769551,9.74,NA
"127","Amhara","Kobo","September",2017,39.63127424,12.16406542,7.49,NA
"128","Amhara","Weldiya","September",2017,39.6014117,11.82360232,9.83,NA
"129","Amhara","Kombolcha","September",2017,39.73724188,11.07807805,9.5,NA
"130","Amhara","Dessie","September",2017,39.63548793,11.11703902,8.25,NA
"131","Amhara","Shewa- Robit ","September",2017,39.90269733,10.00580856,8.19,NA
"132","Amhara","Debre-¦","September",2017,39.52890047,9.67650294,9,NA
"133","Amhara","Mota","April",2018,37.8807432,11.07475582,6.5,NA
"134","Amhara","Debre- Markos ","April",2018,37.72636868,10.33641293,7,NA
"135","Amhara","Dembecha","April",2018,37.48251554,10.56669266,6.16,NA
"136","Amhara","Bahir- Dar ","April",2018,37.3815488,11.58416449,8.94,NA
"137","Amhara","Sekota","April",2018,39.03355257,12.62479803,8.58,NA
"138","Amhara","Amde Work ","April",2018,38.85815043,12.45920199,NA,NA
"139","Amhara","Danigla","April",2018,36.83153176,11.25223153,6.5,NA
"140","Amhara","Chagni","April",2018,36.50793596,10.95196565,6.5,NA
"141","Amhara","Kemise","April",2018,39.85696873,10.71374234,8.73,NA
"142","Amhara","Bati","April",2018,40.0181327,11.19153266,7.78,NA
"143","Amhara","Mota","August",2017,37.8807432,11.07475582,8.4,NA
"144","Amhara","Debre- Markos ","August",2017,37.72636868,10.33641293,10,NA
"145","Amhara","Dembecha","August",2017,37.48251554,10.56669266,9.69,NA
"146","Amhara","Bahir- Dar ","August",2017,37.3815488,11.58416449,8.49,NA
"147","Amhara","Sekota","August",2017,39.03355257,12.62479803,7.72,NA
"148","Amhara","Amde Work ","August",2017,38.85815043,12.45920199,NA,NA
"149","Amhara","Danigla","August",2017,36.83153176,11.25223153,10.5,NA
"150","Amhara","Chagni","August",2017,36.50793596,10.95196565,9,NA
"151","Amhara","Kemise","August",2017,39.85696873,10.71374234,9.13,NA
"152","Amhara","Bati","August",2017,40.0181327,11.19153266,10.16,NA
"153","Amhara","Mota","December",2017,37.8807432,11.07475582,6,NA
"154","Amhara","Debre- Markos ","December",2017,37.72636868,10.33641293,6,NA
"155","Amhara","Dembecha","December",2017,37.48251554,10.56669266,5.67,NA
"156","Amhara","Bahir- Dar ","December",2017,37.3815488,11.58416449,10,NA
"157","Amhara","Sekota","December",2017,39.03355257,12.62479803,7.7,NA
"158","Amhara","Amde Work ","December",2017,38.85815043,12.45920199,NA,NA
"159","Amhara","Danigla","December",2017,36.83153176,11.25223153,6.24,NA
"160","Amhara","Chagni","December",2017,36.50793596,10.95196565,6,NA
"161","Amhara","Kemise","December",2017,39.85696873,10.71374234,10.07,NA
"162","Amhara","Bati","December",2017,40.0181327,11.19153266,9.76,NA
"163","Amhara","Mota","February",2018,37.8807432,11.07475582,6,NA
"164","Amhara","Debre- Markos ","February",2018,37.72636868,10.33641293,6.5,NA
"165","Amhara","Dembecha","February",2018,37.48251554,10.56669266,6.16,NA
"166","Amhara","Bahir- Dar ","February",2018,37.3815488,11.58416449,6.48,NA
