"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.millw","pkg.wht.millm","pkg.wht.bread","pkg.wht.maltw","pkg.wht.allwh"
"663","Snnp","Yirega-¦ Chefie ","September",2013,38.1988827,6.16095383,9.49,NA,9.49,NA,NA,4.38,10.32,9.49
"664","Snnp","Welayita Sodo ","April",2014,37.766643,6.86176,8.83,NA,9.75,NA,NA,5.38,19.68,8.83
"665","Snnp","Bodite","April",2014,37.89064905,7.038034865,8.83,NA,NA,NA,NA,5,11.76,8.83
"666","Snnp","Jinka","April",2014,36.56441614,5.78310286,9.69,8.88,7.77,NA,NA,5.83,13.69,9.69
"667","Snnp","Dimeka","April",2014,36.45041198,4.892522922,NA,NA,NA,NA,NA,6.39,NA,NA
"668","Snnp","Masha","April",2014,35.47956686,7.741652627,11,NA,10,NA,12,6,NA,11
"669","Snnp","Tepi","April",2014,35.36770327,7.320015599,10,NA,10,11,NA,4.38,NA,10
"670","Snnp","Boniga","April",2014,36.24008346,7.388535704,8,NA,7,NA,NA,6.11,12.5,8
"671","Snnp","Chana","April",2014,36.11775846,6.226550231,10,NA,9,NA,NA,5,NA,10
"672","Snnp","Arbam- Minch ","April",2014,37.5527474,6.024547891,12,NA,10,NA,NA,3.76,NA,12
"673","Snnp","Sawla","April",2014,36.87437474,6.300226567,9,NA,8.96,NA,NA,3.51,NA,9
"674","Snnp","Welayita Sodo ","August",2013,37.766643,6.86176,8.5,NA,8,NA,NA,5.53,14.76,8.5
"675","Snnp","Bodite","August",2013,37.89064905,7.038034865,8.32,NA,NA,NA,NA,3.63,10.29,8.32
"676","Snnp","Jinka","August",2013,36.56441614,5.78310286,9.09,7.84,9.07,NA,NA,5.83,12.05,9.09
"677","Snnp","Dimeka","August",2013,36.45041198,4.892522922,NA,NA,NA,NA,NA,4.39,NA,NA
"678","Snnp","Masha","August",2013,35.47956686,7.741652627,NA,NA,10,11.29,12,3.63,NA,10
"679","Snnp","Tepi","August",2013,35.36770327,7.320015599,10,NA,9,10.5,NA,5,NA,10
"680","Snnp","Boniga","August",2013,36.24008346,7.388535704,6.83,NA,6,NA,NA,4.95,12.61,6.83
"681","Snnp","Chana","August",2013,36.11775846,6.226550231,11,NA,8,NA,NA,3.5,NA,11
