"","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED_Wheat White","CEREALS UNMILLED_Wheat Mixed","CEREALS UNMILLED_Wheat Black (Red)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","BREAD AND OTHER PREPARED FOODS_Bread Wheat (Bakery)","P R I C E   I N    B I R R_Malt-Wheat"
"1","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","BREAD AND OTHER PREPARED FOODS","P R I C E   I N    B I R R"
"445","OROMIYA","Weliso","OCTOBER.doc","2014.doc","37.97073066","8.534178897","9.75","-","-","-","-","3.76","18.12"
"446","OROMIYA","Ejere","OCTOBER.doc","2014.doc","39.262249","8.78288","8.98","-","14.54","-","-","4.67","-"
"447","OROMIYA","Fiche","OCTOBER.doc","2014.doc","38.73344116","9.791083661","8.32","-","10.76","-","-","4.55","18.80"
"448","OROMIYA","Ghimbi","SEPTEMBER","2014","35.83291974","9.163103789","11.00","-","-","-","-","5.54","-"
"449","OROMIYA","Dembi- dolo ","SEPTEMBER","2014","34.79748694","8.530219501","10.00","8.00","-","-","-","3.55","-"
"450","OROMIYA","Shambu","SEPTEMBER","2014","37.09431432","9.569809208","8.24","8.12","8.22","-","-","4.81","-"
"451","OROMIYA","Nekemte","SEPTEMBER","2014","36.54851971","9.09042469","10.00","9.00","9.00","-","-","3.46","-"
"452","OROMIYA","Bedele","SEPTEMBER","2014","36.36017384","8.454821965","13.00","10.66","10.00","-","-","3.50","-"
"453","OROMIYA","Metu","SEPTEMBER","2014","35.58726864","8.300606827","10.00","-","9.00","-","-","4.20","-"
"454","OROMIYA","Jimma","SEPTEMBER","2014","36.84385226","7.672338798","11.83","-","10.00","-","-","3.33","-"
"455","OROMIYA","Agaro","SEPTEMBER","2014","36.58627683","7.848002731","11.76","-","-","-","-","4.38","10.06"
"456","OROMIYA","Ambo","SEPTEMBER","2014","37.8446066","8.976806527","11.16","-","12.44","-","-","4.19","14.33"
"457","OROMIYA","Weliso","SEPTEMBER","2014","37.97073066","8.534178897","10.50","11.29","-","-","-","4.38","17.22"
"458","OROMIYA","Ejere","SEPTEMBER","2014","39.262249","8.78288","11.25","-","16.47","-","-","4.67","-"
"459","OROMIYA","Fiche","SEPTEMBER","2014","38.73344116","9.791083661","11.48","-","11.70","-","-","6.31","15.60"
"460","OROMIYA","Nazareth","AUGUST","2014","39.26941988","8.535362997","10.00","9.32","19.66","10.00","-","4.20","12.01"
"461","OROMIYA","Shashe-","AUGUST","2014","38.608142","7.205388","13.00","12.50","11.49","14.00","-","4.35","15.91"
"462","OROMIYA","Diksise","AUGUST","2014","39.55824","8.059179","11.72","11.54","10.92","-","-","5.25","-"
"463","OROMIYA","Asella","AUGUST","2014","39.12972322","7.949589951","9.93","-","-","12.00","-","4.20","15.26"
"464","OROMIYA","Asebe- Teferi ","AUGUST","2014","40.86319806","9.072493603","10.48","-","8.00","-","-","4.40","-"
"465","OROMIYA","Bedessa","AUGUST","2014","40.77378712","8.902011546","9.53","-","7.62","-","-","4.78","-"
"466","OROMIYA","Alemaya","AUGUST","2014","42.01641123","9.379383214","11.66","-","8.00","-","-","4.64","-"
"467","OROMIYA","Boreda","AUGUST","2014","41.278686","9.331067","11.00","10.00","-","-","-","4.93","-"
"468","OROMIYA","Adaba","AUGUST","2014","39.3890878","7.004454253","10.06","8.50","-","-","12.00","5.36","-"
"469","OROMIYA","Robe","AUGUST","2014","39.631104","7.860619","10.01","8.75","-","-","-","6.04","-"
"470","OROMIYA","Hagere- Mariam ","AUGUST","2014","38.23373735","5.63380625","11.66","-","-","11.32","-","5.01","11.11"
"471","OROMIYA","Negele- Borena ","AUGUST","2014","39.577385","5.33699","8.93","8.57","-","-","-","4.38","-"
"472","OROMIYA","Nazareth","DECEMBER","2014","39.26941988","8.535362997","11.00","11.00","19.66","14.00","-","4.20","16.37"
"473","OROMIYA","Shashe-","DECEMBER","2014","38.608142","7.205388","9.50","9.00","9.49","14.00","-","4.51","21.62"
"474","OROMIYA","Diksise","DECEMBER","2014","39.55824","8.059179","12.19","10.48","10.48","-","-","5.25","-"
"475","OROMIYA","Asella","DECEMBER","2014","39.12972322","7.949589951","10.00","-","-","12.00","-","4.20","15.26"
"476","OROMIYA","Asebe- Teferi ","DECEMBER","2014","40.86319806","9.072493603","11.91","-","8.00","-","-","4.58","-"
"477","OROMIYA","Bedessa","DECEMBER","2014","40.77378712","8.902011546","9.68","-","9.68","-","-","5.54","-"
