"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.millw","pkg.wht.millm","pkg.wht.bread","pkg.wht.maltw"
"262","Gambella","Shebo- Kire ","December",2014,NA,NA,NA,NA,NA,NA,NA,4.78,NA
"263","Gambella","Meti","December",2014,7.233333333,35.31666667,10,11,NA,NA,NA,5.84,NA
"264","Diredawa","Dire Dawa ","December",2014,41.8572763,9.593652332,13.95,NA,12,NA,NA,3.98,20
"265","Diredawa","Melka- Jebdu ","December",2014,41.77420401,9.617496554,12.66,NA,NA,NA,NA,4.55,NA
"266","Gambella","Gambella","February",2015,34.58547076,8.249396585,16,NA,NA,NA,NA,3.57,NA
"267","Gambella","Shebo- Kire ","February",2015,NA,NA,NA,NA,NA,NA,NA,5.01,NA
"268","Gambella","Meti","February",2015,7.233333333,35.31666667,11,11,10,NA,NA,8.8,NA
"269","Diredawa","Dire Dawa ","February",2015,41.8572763,9.593652332,13.59,NA,10.95,NA,NA,4.64,20.98
"270","Diredawa","Melka- Jebdu ","February",2015,41.77420401,9.617496554,12.66,NA,11,NA,NA,4.55,NA
"271","Gambella","Gambella","January",2015,34.58547076,8.249396585,16,NA,NA,NA,NA,3.57,NA
"272","Gambella","Shebo- Kire ","January",2015,NA,NA,NA,NA,NA,NA,NA,4.78,NA
"273","Gambella","Meti","January",2015,7.233333333,35.31666667,10,10,NA,NA,NA,8.8,NA
"274","Diredawa","Dire Dawa ","January",2015,41.8572763,9.593652332,12.8,NA,10.72,NA,NA,3.94,17.49
"275","Diredawa","Melka- Jebdu ","January",2015,41.77420401,9.617496554,13,NA,10,NA,NA,4.55,NA
"276","Gambella","Gambella","July",2014,34.58547076,8.249396585,14,NA,NA,NA,NA,3.78,NA
"277","Gambella","Shebo- Kire ","July",2014,NA,NA,NA,NA,NA,NA,NA,5.12,NA
"278","Gambella","Meti","July",2014,7.233333333,35.31666667,10.66,10,NA,NA,NA,5,NA
"279","Diredawa","Dire Dawa ","July",2014,41.8572763,9.593652332,12.65,NA,10,NA,NA,4.49,14.49
"280","Diredawa","Melka- Jebdu ","July",2014,41.77420401,9.617496554,12,NA,NA,NA,NA,4.67,NA
"281","Gambella","Gambella","June",2015,34.58547076,8.249396585,20,NA,NA,NA,NA,3.51,NA
"282","Gambella","Shebo- Kire ","June",2015,NA,NA,NA,NA,NA,NA,NA,5.12,NA
"283","Gambella","Meti","June",2015,7.233333333,35.31666667,11.66,NA,NA,NA,NA,6.38,NA
"284","Diredawa","Dire Dawa ","June",2015,41.8572763,9.593652332,14.99,NA,12,16,13.33,4.78,20
"285","Diredawa","Melka- Jebdu ","June",2015,41.77420401,9.617496554,14,NA,11,NA,NA,4.55,NA
"286","Gambella","Gambella","March",2015,34.58547076,8.249396585,14.64,NA,NA,NA,NA,3.45,NA
"287","Gambella","Shebo- Kire ","March",2015,NA,NA,NA,NA,NA,NA,NA,4.78,NA
"288","Gambella","Meti","March",2015,7.233333333,35.31666667,23.29,7,7,NA,NA,4.57,NA
"289","Diredawa","Dire Dawa ","March",2015,41.8572763,9.593652332,14.65,NA,12,NA,NA,4.95,20.98
"290","Diredawa","Melka- Jebdu ","March",2015,41.77420401,9.617496554,12,NA,11,NA,NA,4.55,NA
"291","Gambella","Gambella","May",2015,34.58547076,8.249396585,20,NA,NA,NA,NA,3.45,NA
"292","Gambella","Shebo- Kire ","May",2015,NA,NA,NA,NA,NA,NA,NA,5.12,NA
"293","Gambella","Meti","May",2015,7.233333333,35.31666667,10.66,11,NA,NA,NA,5.39,NA
"294","Diredawa","Dire Dawa ","May",2015,41.8572763,9.593652332,14.99,NA,11.66,15,NA,4.8,20.98
"295","Diredawa","Melka- Jebdu ","May",2015,41.77420401,9.617496554,13,NA,11,NA,NA,4.55,NA
"296","Gambella","Gambella","November",2014,34.58547076,8.249396585,14.64,NA,NA,NA,NA,3.5,NA
"297","Gambella","Shebo- Kire ","November",2014,NA,NA,NA,NA,NA,NA,NA,4.78,NA
"298","Gambella","Meti","November",2014,7.233333333,35.31666667,11,11,NA,NA,NA,5.39,NA
"299","Diredawa","Dire Dawa ","November",2014,41.8572763,9.593652332,13.63,NA,10.72,NA,NA,4.07,17.49
"300","Diredawa","Melka- Jebdu ","November",2014,41.77420401,9.617496554,13.66,NA,NA,NA,NA,4.55,NA
"301","Gambella","Gambella","October",2014,34.58547076,8.249396585,16,NA,NA,NA,NA,3.69,NA
"302","Gambella","Shebo- Kire ","October",2014,NA,NA,NA,NA,NA,NA,NA,4.89,NA
"303","Gambella","Meti","October",2014,7.233333333,35.31666667,11,10,NA,NA,NA,5.01,16.84
"304","Diredawa","Dire Dawa ","October",2014,41.8572763,9.593652332,12.16,NA,10.49,NA,NA,4.41,15.97
"305","Diredawa","Melka- Jebdu ","October",2014,41.77420401,9.617496554,12,NA,NA,NA,NA,4.51,NA
"306","Gambella","Gambella","October.doc",NA,34.58547076,8.249396585,14.64,NA,NA,NA,NA,3.45,NA
"307","Gambella","Shebo- Kire ","October.doc",NA,NA,NA,NA,NA,NA,NA,NA,4.89,NA
"308","Gambella","Meti","October.doc",NA,7.233333333,35.31666667,12,12,NA,NA,NA,4.57,NA
"309","Diredawa","Dire Dawa ","October.doc",NA,41.8572763,9.593652332,14.65,NA,12,NA,NA,4.95,20.98
"310","Diredawa","Melka- Jebdu ","October.doc",NA,41.77420401,9.617496554,13.33,NA,11,NA,NA,4.55,NA
"311","Gambella","Gambella","September",2014,34.58547076,8.249396585,13.66,NA,NA,NA,NA,3.91,NA
"312","Gambella","Shebo- Kire ","September",2014,NA,NA,NA,NA,NA,NA,NA,5.53,NA
"313","Gambella","Meti","September",2014,7.233333333,35.31666667,12,12,12,NA,NA,5.12,NA
"314","Diredawa","Dire Dawa ","September",2014,41.8572763,9.593652332,12.48,NA,9.87,NA,NA,4.17,15.49
"315","Diredawa","Melka- Jebdu ","September",2014,41.77420401,9.617496554,13.66,NA,10,NA,NA,4.51,NA
"316","Oromiya","Ghimbi","August",2014,35.83291974,9.163103789,11,NA,NA,NA,NA,5.83,NA
"317","Oromiya","Dembi- Dolo ","August",2014,34.79748694,8.530219501,9.32,7,NA,NA,NA,3.5,NA
"318","Oromiya","Shambu","August",2014,37.09431432,9.569809208,9.21,8.07,8.15,NA,NA,4.61,NA
"319","Oromiya","Nekemte","August",2014,36.54851971,9.09042469,10,9,9,NA,NA,3.48,NA
"320","Oromiya","Bedele","August",2014,36.36017384,8.454821965,12,9.3,NA,NA,NA,3.5,NA
"321","Oromiya","Metu","August",2014,35.58726864,8.300606827,10,NA,9,NA,NA,3.75,NA
"322","Oromiya","Jimma","August",2014,36.84385226,7.672338798,11.66,NA,10,NA,NA,3.33,NA
"323","Oromiya","Agaro","August",2014,36.58627683,7.848002731,11.18,NA,NA,NA,NA,4.38,10.19
