"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.temez","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.hullb","pkg.bar.allba"
"842","Snnp","Deri","November",2018,36.28577951,7.384839762,9.62,9.9,NA,NA,NA,NA,NA,37.21,NA,9.62
"843","Snnp","Amaro Kele ","November",2018,6.083333333,38.03333333,16.79,NA,19.35,NA,21.39,NA,NA,NA,NA,16.79
"844","Snnp","Soyama","November",2018,5.7,37.88333333,15.02,13.24,NA,NA,NA,NA,NA,NA,NA,15.02
"845","Snnp","Karate","November",2018,5.25,37.48333333,17.09,NA,NA,NA,NA,NA,NA,NA,NA,17.09
"846","Snnp","Gidola","November",2018,37.34772952,5.647078098,16.99,16.11,18.18,NA,NA,NA,NA,NA,NA,16.99
"847","Snnp","Tercha","November",2018,37.175334,7.146295,18,12.49,12.75,NA,NA,NA,NA,NA,NA,18
"848","Snnp","Besite- Chere ","November",2018,NA,NA,20,16,16,NA,NA,NA,NA,NA,NA,20
"849","Snnp","Lasoka","November",2018,36.60777815,6.30774507,14.96,NA,16.04,NA,35.97,NA,NA,NA,NA,14.96
"850","Snnp","Amaya","November",2018,36.68000727,7.105541206,17.28,16.68,17.29,NA,13.77,NA,NA,NA,NA,17.28
"851","Snnp","Shewa- Bench ","October",2018,NA,NA,16,13,14,NA,NA,40,32.4,26.35,NA,16
"852","Snnp","Mizan- Teferi ","October",2018,35.41120174,6.883477024,15,13.49,13,NA,NA,40,NA,20,NA,15
"853","Snnp","Deri","October",2018,36.28577951,7.384839762,11.82,12,NA,NA,NA,NA,NA,38.1,NA,11.82
"854","Snnp","Amaro Kele ","October",2018,6.083333333,38.03333333,16.11,NA,19.48,NA,20,NA,NA,NA,NA,16.11
"855","Snnp","Soyama","October",2018,5.7,37.88333333,13.24,13.16,NA,NA,NA,NA,NA,NA,NA,13.24
"856","Snnp","Karate","October",2018,5.25,37.48333333,17.12,NA,NA,NA,NA,NA,NA,NA,NA,17.12
"857","Snnp","Gidola","October",2018,37.34772952,5.647078098,18.18,16.9,16.77,NA,19.16,NA,NA,NA,NA,18.18
"858","Snnp","Tercha","October",2018,37.175334,7.146295,19,16,NA,NA,NA,NA,NA,NA,NA,19
"859","Snnp","Besite- Chere ","October",2018,NA,NA,20,16,NA,NA,NA,NA,NA,NA,NA,20
"860","Snnp","Lasoka","October",2018,36.60777815,6.30774507,16,15.69,NA,NA,27.45,NA,NA,24.25,NA,16
"861","Snnp","Amaya","October",2018,36.68000727,7.105541206,17.3,16.34,17.21,NA,17.18,NA,NA,NA,NA,17.3
"862","Snnp","Shewa- Bench ","September",2018,NA,NA,14.49,10,13,NA,NA,30.98,NA,23.84,NA,14.49
"863","Snnp","Mizan- Teferi ","September",2018,35.41120174,6.883477024,15.49,13,13,NA,NA,NA,NA,25,NA,15.49
"864","Snnp","Deri","September",2018,36.28577951,7.384839762,13.18,12.63,11.88,NA,NA,NA,NA,24.02,NA,13.18
"865","Snnp","Amaro Kele ","September",2018,6.083333333,38.03333333,16.56,NA,19.87,NA,19.78,NA,NA,NA,NA,16.56
"866","Snnp","Soyama","September",2018,5.7,37.88333333,14.38,11.84,NA,NA,NA,NA,NA,NA,NA,14.38
"867","Snnp","Karate","September",2018,5.25,37.48333333,15.91,NA,NA,NA,NA,NA,NA,NA,NA,15.91
"868","Snnp","Gidola","September",2018,37.34772952,5.647078098,16.47,14.54,17.52,NA,17.1,NA,NA,NA,NA,16.47
"869","Snnp","Tercha","September",2018,37.175334,7.146295,19.49,NA,NA,NA,NA,NA,NA,NA,NA,19.49
