"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.temez","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.allba"
"574","Oromiya","Haromaya","September",2017,42.01641123,9.379383214,16.49,NA,NA,18,11,NA,NA,NA,16.49
"575","Oromiya","Boreda","September",2017,41.278686,9.331067,13,NA,NA,NA,NA,NA,NA,NA,13
"576","Oromiya","Adaba","September",2017,39.3890878,7.004454253,11.42,9.79,9.98,12.49,NA,NA,NA,NA,11.42
"577","Oromiya","Robe","September",2017,39.631104,7.860619,13.11,7.23,NA,NA,NA,NA,NA,NA,13.11
"578","Oromiya","Hagere- Mariam ","September",2017,38.23373735,5.63380625,10.49,NA,NA,15,NA,NA,NA,13.06,10.49
"579","Oromiya","Negele- Borena ","September",2017,39.577385,5.33699,13,13,13,NA,NA,35,30,NA,13
"580","Snnp","Welikite","April",2018,37.77266735,8.27732366,16.9,NA,17,NA,NA,NA,NA,35.71,16.9
"581","Snnp","Butajira","April",2018,38.42140499,8.173264069,12.72,12.39,14.57,13.19,NA,NA,NA,20.2,12.72
"582","Snnp","Hosahna","April",2018,37.84747123,7.538579317,15.49,13,14.49,NA,NA,NA,NA,14.18,15.49
"583","Snnp","Shone","April",2018,37.94869425,7.134857075,17,NA,15,NA,NA,NA,NA,NA,17
"584","Snnp","Doyugena","April",2018,37.78333,7.33333,13.5,12,13.5,12.5,17.95,NA,NA,17.5,13.5
"585","Snnp","Alaba","April",2018,38.086143,7.311546,15,NA,15,NA,NA,NA,NA,18.8,15
"586","Snnp","Awasa","April",2018,38.474819,7.058624,17,NA,16,17.49,NA,NA,NA,NA,17
"587","Snnp","Hagere- Selam ","April",2018,38.51921184,6.513880636,10.47,NA,NA,NA,NA,NA,NA,NA,10.47
"588","Snnp","Dilla","April",2018,38.30745962,6.410516676,16,NA,NA,15,NA,NA,NA,NA,16
"589","Snnp","Yirega-¦ Chefie ","April",2018,38.1988827,6.16095383,15,12,NA,14,NA,NA,NA,NA,15
"590","Snnp","Welikite","August",2017,37.77266735,8.27732366,12.65,NA,12.55,NA,NA,NA,NA,31.05,12.65
"591","Snnp","Butajira","August",2017,38.42140499,8.173264069,12.52,10.67,10.74,15.4,NA,NA,NA,15.23,12.52
"592","Snnp","Hosahna","August",2017,37.84747123,7.538579317,13,10,12,NA,NA,NA,NA,14.13,13
"593","Snnp","Shone","August",2017,37.94869425,7.134857075,12,8.5,10,13,NA,NA,NA,NA,12
"594","Snnp","Doyugena","August",2017,37.78333,7.33333,12,10.29,12,NA,19.65,NA,NA,15.46,12
"595","Snnp","Alaba","August",2017,38.086143,7.311546,14,NA,14,NA,NA,NA,NA,18.87,14
"596","Snnp","Awasa","August",2017,38.474819,7.058624,14,NA,NA,15,NA,NA,NA,42.55,14
"597","Snnp","Hagere- Selam ","August",2017,38.51921184,6.513880636,11.71,NA,NA,NA,NA,NA,NA,14.44,11.71
"598","Snnp","Dilla","August",2017,38.30745962,6.410516676,12,NA,11.49,10.49,NA,NA,NA,NA,12
"599","Snnp","Yirega-¦ Chefie ","August",2017,38.1988827,6.16095383,13.49,NA,NA,NA,NA,NA,NA,15,13.49
"600","Snnp","Welikite","December",2017,37.77266735,8.27732366,16,NA,15.9,NA,NA,NA,NA,32.84,16
"601","Snnp","Butajira","December",2017,38.42140499,8.173264069,17.28,16.57,17.7,18.4,NA,NA,NA,14.73,17.28
"602","Snnp","Hosahna","December",2017,37.84747123,7.538579317,11,8.94,10,NA,NA,NA,NA,14.18,11
"603","Snnp","Shone","December",2017,37.94869425,7.134857075,11,NA,16,NA,NA,NA,NA,19.75,11
"604","Snnp","Doyugena","December",2017,37.78333,7.33333,12,11,12,NA,NA,NA,NA,15.29,12
"605","Snnp","Alaba","December",2017,38.086143,7.311546,14,NA,14,NA,NA,NA,NA,NA,14
"606","Snnp","Awasa","December",2017,38.474819,7.058624,18,NA,20,18,NA,NA,NA,42.55,18
"607","Snnp","Hagere- Selam ","December",2017,38.51921184,6.513880636,13.09,NA,NA,NA,NA,NA,NA,16.67,13.09
"608","Snnp","Dilla","December",2017,38.30745962,6.410516676,16.49,NA,12.49,15.49,NA,NA,NA,NA,16.49
"609","Snnp","Yirega-¦ Chefie ","December",2017,38.1988827,6.16095383,18.97,NA,NA,NA,NA,NA,NA,NA,18.97
"610","Snnp","Welikite","February",2018,37.77266735,8.27732366,16.15,NA,17.45,NA,NA,NA,NA,35.71,16.15
"611","Snnp","Butajira","February",2018,38.42140499,8.173264069,10.98,11.15,12.69,12.41,NA,NA,NA,12.66,10.98
"612","Snnp","Hosahna","February",2018,37.84747123,7.538579317,14,11,13,NA,NA,NA,NA,15.38,14
"613","Snnp","Shone","February",2018,37.94869425,7.134857075,16,NA,15,NA,NA,NA,NA,NA,16
"614","Snnp","Doyugena","February",2018,37.78333,7.33333,13,12,13,13,NA,NA,NA,15.18,13
"615","Snnp","Alaba","February",2018,38.086143,7.311546,15,NA,15,NA,NA,NA,NA,29.94,15
"616","Snnp","Awasa","February",2018,38.474819,7.058624,17,NA,17,17,NA,NA,NA,40.73,17
"617","Snnp","Hagere- Selam ","February",2018,38.51921184,6.513880636,10.65,NA,NA,NA,NA,NA,NA,12.5,10.65
"618","Snnp","Dilla","February",2018,38.30745962,6.410516676,16,NA,NA,15,NA,NA,NA,NA,16
"619","Snnp","Yirega-¦ Chefie ","February",2018,38.1988827,6.16095383,16,NA,NA,NA,NA,NA,NA,NA,16
"620","Snnp","Welikite","January",2018,37.77266735,8.27732366,16.5,NA,17.85,NA,NA,NA,NA,35.21,16.5
"621","Snnp","Butajira","January",2018,38.42140499,8.173264069,12.5,12.3,13.09,12.22,NA,NA,NA,16.17,12.5
"622","Snnp","Hosahna","January",2018,37.84747123,7.538579317,15,12,14,NA,NA,NA,NA,14.13,15
"623","Snnp","Shone","January",2018,37.94869425,7.134857075,15,NA,NA,NA,NA,NA,NA,NA,15
"624","Snnp","Doyugena","January",2018,37.78333,7.33333,13,11,13,13,NA,NA,NA,14.81,13
"625","Snnp","Alaba","January",2018,38.086143,7.311546,16,NA,16,NA,NA,NA,NA,19.42,16
"626","Snnp","Awasa","January",2018,38.474819,7.058624,18,NA,18,18,NA,NA,NA,41.49,18
"627","Snnp","Hagere- Selam ","January",2018,38.51921184,6.513880636,11.73,NA,NA,NA,NA,NA,NA,12.5,11.73
"628","Snnp","Dilla","January",2018,38.30745962,6.410516676,16,NA,13,14.49,NA,NA,NA,24.49,16
"629","Snnp","Yirega-¦ Chefie ","January",2018,38.1988827,6.16095383,16,NA,NA,NA,NA,NA,NA,NA,16
"630","Snnp","Welikite","July",2017,37.77266735,8.27732366,13.15,NA,13.35,NA,NA,NA,NA,30.49,13.15
"631","Snnp","Butajira","July",2017,38.42140499,8.173264069,9.39,9.77,10,12.34,NA,NA,NA,12.9,9.39
"632","Snnp","Hosahna","July",2017,37.84747123,7.538579317,12,10,11.5,NA,NA,NA,NA,14.29,12
"633","Snnp","Shone","July",2017,37.94869425,7.134857075,12,8.5,10,12,NA,NA,NA,NA,12
"634","Snnp","Doyugena","July",2017,37.78333,7.33333,10.94,10.21,11.49,NA,NA,NA,NA,15.75,10.94
"635","Snnp","Alaba","July",2017,38.086143,7.311546,13,NA,14,NA,NA,NA,NA,18.19,13
"636","Snnp","Awasa","July",2017,38.474819,7.058624,13.49,NA,15,14,NA,NA,NA,43.01,13.49
"637","Snnp","Hagere- Selam ","July",2017,38.51921184,6.513880636,10.78,NA,NA,NA,NA,NA,NA,12.5,10.78
"638","Snnp","Dilla","July",2017,38.30745962,6.410516676,12,NA,11.49,10.49,NA,NA,NA,NA,12
