"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA"
"878","SNNP","Amaro Kele ","July","2017","6.083333333","38.03333333","13.51","-","14.02","-","18.18","-","-","-"
"879","SNNP","Soyama","July","2017","5.7","37.88333333","10.60","9.33","-","-","-","-","-","-"
"880","SNNP","Karate","July","2017","5.25","37.48333333","10.26","-","-","-","-","-","-","-"
"881","SNNP","Gidola","July","2017","37.34772952","5.647078098","19.75","14.09","17.58","-","20.78","-","-","-"
"882","SNNP","Tercha","July","2017","37.175334","7.146295","16.00","15.00","14.00","-","-","-","-","-"
"883","SNNP","Besite- chere ","July","2017",NA,NA,"15.00","10.95","12.00","-","-","-","-","-"
"884","SNNP","Lasoka","July","2017","36.60777815","6.30774507","9.81","9.62","-","-","15.88","-","-","15.63"
"885","SNNP","Amaya","July","2017","36.68000727","7.105541206","7.95","6.98","6.93","-","10.61","-","-","-"
"886","SNNP","Shewa- Bench ","June","2018",NA,NA,"18.00","14.00","16.00","-","-","30.00","25.00","21.32"
"887","SNNP","Mizan- Teferi ","June","2018","35.41120174","6.883477024","16.00","15.00","15.00","-","-","-","-","20.00"
"888","SNNP","Deri","June","2018","36.28577951","7.384839762","13.20","12.01","-","-","-","-","-","33.33"
"889","SNNP","Amaro Kele ","June","2018","6.083333333","38.03333333","13.51","-","15.28","14.66","18.38","-","-","-"
"890","SNNP","Soyama","June","2018","5.7","37.88333333","11.92","10.46","-","-","-","-","-","-"
"891","SNNP","Karate","June","2018","5.25","37.48333333","15.57","-","-","-","-","-","-","-"
"892","SNNP","Gidola","June","2018","37.34772952","5.647078098","14.12","11.56","15.63","-","17.95","-","-","-"
"893","SNNP","Tercha","June","2018","37.175334","7.146295","20.00","16.00","16.00","-","-","-","-","-"
"894","SNNP","Besite- chere ","June","2018",NA,NA,"20.00","18.00","18.00","-","-","-","-","-"
"895","SNNP","Lasoka","June","2018","36.60777815","6.30774507","13.06","-","15.38","-","19.61","-","-","31.25"
"896","SNNP","Amaya","June","2018","36.68000727","7.105541206","10.15","10.23","10.33","-","12.38","-","-","-"
"897","SNNP","Shewa- Bench ","March","2018",NA,NA,"15.00","12.00","15.00","-","-","-","-","33.33"
"898","SNNP","Mizan- Teferi ","March","2018","35.41120174","6.883477024","15.00","11.49","10.00","-","-","-","-","20.00"
"899","SNNP","Deri","March","2018","36.28577951","7.384839762","13.05","13.79","13.18","-","-","-","-","13.65"
"900","SNNP","Amaro Kele ","March","2018","6.083333333","38.03333333","13.42","-","15.68","14.97","18.58","-","-","-"
"901","SNNP","Soyama","March","2018","5.7","37.88333333","10.60","9.21","-","-","-","-","-","-"
"902","SNNP","Karate","March","2018","5.25","37.48333333","12.71","-","-","-","-","-","-","-"
"903","SNNP","Gidola","March","2018","37.34772952","5.647078098","16.47","14.54","16.09","-","19.28","-","-","-"
"904","SNNP","Tercha","March","2018","37.175334","7.146295","20.00","16.00","15.00","-","-","-","-","-"
"905","SNNP","Besite- chere ","March","2018",NA,NA,"20.00","15.00","17.00","-","-","-","-","-"
"906","SNNP","Lasoka","March","2018","36.60777815","6.30774507","9.81","10.00","9.62","-","20.00","-","-","15.16"
"907","SNNP","Amaya","March","2018","36.68000727","7.105541206","9.11","9.05","8.95","-","12.51","-","-","-"
"908","SNNP","Shewa- Bench ","May","2018",NA,NA,"16.00","12.49","15.00","-","-","30.00","-","25.56"
"909","SNNP","Mizan- Teferi ","May","2018","35.41120174","6.883477024","15.49","13.00","13.00","-","-","-","-","20.00"
"910","SNNP","Deri","May","2018","36.28577951","7.384839762","13.79","13.64","13.48","-","-","-","-","11.77"
"911","SNNP","Amaro Kele ","May","2018","6.083333333","38.03333333","14.76","-","15.29","13.79","19.05","-","-","-"
"912","SNNP","Soyama","May","2018","5.7","37.88333333","11.09","10.33","-","15.58","-","-","-","-"
"913","SNNP","Karate","May","2018","5.25","37.48333333","10.68","-","-","-","-","-","-","-"
"914","SNNP","Gidola","May","2018","37.34772952","5.647078098","16.41","13.19","16.87","-","16.72","-","-","-"
"915","SNNP","Tercha","May","2018","37.175334","7.146295","20.00","16.00","16.00","-","-","-","-","-"
"916","SNNP","Besite- chere ","May","2018",NA,NA,"20.00","15.00","-","-","-","-","-","-"
"917","SNNP","Lasoka","May","2018","36.60777815","6.30774507","10.00","-","13.06","-","20.00","-","-","15.16"
"918","SNNP","Amaya","May","2018","36.68000727","7.105541206","8.01","8.55","8.09","-","11.01","-","-","-"
"919","SNNP","Shewa- Bench ","November","2017",NA,NA,"15.00","10.00","13.49","-","-","-","-","26.35"
"920","SNNP","Mizan- Teferi ","November","2017","35.41120174","6.883477024","17.49","-","10.00","-","-","-","-","18.00"
"921","SNNP","Deri","November","2017","36.28577951","7.384839762","18.39","18.19","18.39","-","-","-","-","24.02"
"922","SNNP","Amaro Kele ","November","2017","6.083333333","38.03333333","13.99","-","15.58","-","18.97","-","-","-"
"923","SNNP","Soyama","November","2017","5.7","37.88333333","9.33","7.94","-","-","-","-","-","-"
"924","SNNP","Karate","November","2017","5.25","37.48333333","11.45","-","-","-","-","-","-","-"
"925","SNNP","Gidola","November","2017","37.34772952","5.647078098","18.40","14.12","16.47","-","13.89","-","-","-"
"926","SNNP","Tercha","November","2017","37.175334","7.146295","18.00","16.00","16.00","-","-","-","-","-"
"927","SNNP","Besite- chere ","November","2017",NA,NA,"14.49","12.00","-","-","20.00","-","-","-"
"928","SNNP","Lasoka","November","2017","36.60777815","6.30774507","6.51","-","7.55","-","18.87","-","-","12.50"
"929","SNNP","Amaya","November","2017","36.68000727","7.105541206","8.35","7.80","8.70","-","-","-","-","-"
"930","SNNP","Shewa- Bench ","October","2017",NA,NA,"15.00","10.00","10.95","-","-","20.00","-","26.11"
"931","SNNP","Mizan- Teferi ","October","2017","35.41120174","6.883477024","16.49","-","11.00","-","-","-","-","18.00"
"932","SNNP","Deri","October","2017","36.28577951","7.384839762","16.47","16.29","16.09","-","-","-","-","22.24"
"933","SNNP","Amaro Kele ","October","2017","6.083333333","38.03333333","12.59","-","12.90","-","19.78","-","-","-"
"934","SNNP","Soyama","October","2017","5.7","37.88333333","13.24","11.84","10.74","-","-","-","-","-"
